Run-original,Q_cms,S,T_cm,x_m,h_cm,uavg_m_s,Q_Uavg_cms,ks_m,ustar_profile_m_s,ustar_ds_m_s,ustar_uw_m_s,f_ds,f_profile,f_uw,taub_profile_Pa,taub_ds_Pa,taub_uw_Pa
Run1A,0.099,0.005,7.8,5.12,12.5,0.644326348,0.096648952,0.035297756,0.067087657,0.071232983,0.071375737,0.097777848,0.086728824,0.098170141,4.492803782,5.065175157,5.085497093
Run1B,0.113,0.005,7.8,5.12,12.8,0.713940313,0.109661232,0.038352513,0.076285739,0.071934036,0.065962644,0.081214772,0.091338293,0.068290813,5.809234604,5.165365435,4.343384786
Run1C,0.126,0.005,7.8,5.12,14.5,0.72028003,0.125328725,0.039555414,0.077387963,0.075683463,0.076781861,0.088326136,0.092349399,0.090908502,5.978318314,5.717868869,5.88504061
Run1D,0.139,0.005,7.8,5.12,15.4,0.810926123,0.149859148,0.058132268,0.093271892,0.077530006,0.087125254,0.073125196,0.105834918,0.092345454,8.684279128,6.000284417,7.577401802
Run2A,0.1,0.0075,8,5.12,11.7,0.712806196,0.10007799,0.078364113,0.096082676,0.084873891,0.072839615,0.113421473,0.145357429,0.083537667,9.215573732,7.190853267,5.296237918
Run2B,0.113,0.0075,8,5.12,12.2,0.751688459,0.11004719,0.08139687,0.101847925,0.086367844,0.089002375,0.105613242,0.146865096,0.112154683,10.35467736,7.44622841,7.907430639
Run2C,0.127,0.0075,8,5.12,13.3,0.866391597,0.138276099,0.160807015,0.155543742,0.08949826,0.102334207,0.085367136,0.257849686,0.11161002,24.15112038,7.995790142,10.45379214
Run2D,0.139,0.0075,8,5.12,14.9,0.837564293,0.149756495,0.12553206,0.128348875,0.093711521,0.091332994,0.100147394,0.187861513,0.095128155,16.44433574,8.766337191,8.326981364
Run3A,0.099,0.01,8,5.12,10.4,0.800590824,0.099913735,0.121024159,0.133723379,0.093248203,0.093405577,0.108529976,0.223194483,0.108896616,17.85035613,8.679868338,8.709190958
Run3B,0.112,0.01,8,5.12,12,0.85793629,0.123542826,0.101684124,0.128575151,0.099045444,0.096205301,0.106622514,0.179677625,0.100595352,16.50236875,9.792671971,9.239111384
Run3C,0.126,0.01,8,5.12,12.4,0.878859254,0.130774257,0.166627486,0.16030099,0.100404156,0.102718955,0.104413031,0.266148324,0.109282975,25.65101816,10.06318777,10.53254647
Run3D,0.139,0.01,8,5.12,12.8,0.93483526,0.143590696,0.155400551,0.165794048,0.101730089,0.113022223,0.09473679,0.25162726,0.116935804,27.4391132,10.33073087,12.75145923
Run4A,0.098,0.0085,8,5.12,10.8,0.744968102,0.096547866,0.084504485,0.105345443,0.087360446,0.079667054,0.110013077,0.159972796,0.091489689,11.07805975,7.618366838,6.335628742
Run4B,0.112,0.0085,8,5.12,11.6,0.818833299,0.113981595,0.074916133,0.11080985,0.090031,0.092827554,0.096712619,0.146506108,0.10281413,12.25713406,8.0912636,8.601734027
Run4C,0.126,0.0085,8,5.12,13.1,0.823251778,0.129415179,0.070579511,0.106550716,0.094688351,0.084380408,0.105832178,0.134010053,0.084044224,11.3330015,8.950046708,7.107476569
Run4D,0.14,0.0085,8,5.12,14.1,0.856786955,0.144968353,0.105720533,0.126643589,0.09757084,0.087469439,0.103749111,0.174787639,0.083379057,16.01026863,9.50325292,7.637388467
