Run-original,Point,uavg_m_s,vavg_m_s,wavg_m_s,uu_bar,uv_bar,uw_bar,vv_bar,vw_bar,ww_bar,snr1,snr2,snr3,snr4,cor1,cor2,cor3,cor4
Run1A,1,0.446311091,-0.005855726,0.000261497,0.015691729,-0.002136073,-0.004186005,0.004394982,0.001153446,0.006809466,18.56167719,21.00982867,15.77502254,15.77718665,80.93958521,81.35617674,80.16501353,79.54733995
Run1A,2,0.531744582,-0.000535604,0.005417957,0.014784498,-0.000970004,-0.004217186,0.003600191,0.000349362,0.00624555,18.56362229,20.99303406,15.79411765,15.78119195,82.60603715,83.14318885,78.35913313,81.28560372
Run1A,3,0.574550525,0.004855329,0.006885699,0.012619431,-0.000337823,-0.003325715,0.003291833,0.000169776,0.005417409,18.56874655,21.00220872,15.78873551,15.77090006,83.12203203,83.88956378,80.96355605,81.38045279
Run1A,4,0.651582155,0.011667403,0.012565813,0.010278407,-0.00096843,-0.00225119,0.00316361,6.67E-05,0.004654295,18.55733216,20.99293286,15.78683746,15.76029152,84.60114841,85.39531802,83.53754417,82.90636042
Run1A,5,0.705395909,0.019406338,0.027664661,0.007913098,-0.000714999,-0.001531268,0.002538088,0.000124766,0.003520076,18.56393903,21.00072202,15.80605696,15.76121139,85.92699559,85.9775371,84.29763337,85.24107501
Run1A,6,0.743704756,0.010686922,0.043852708,0.005195648,-0.000702044,-0.000283417,0.002155208,0.000322653,0.009351665,18.5672391,21.00244386,15.57912814,15.10468956,88.58982827,89.34610304,85.51981506,77.01321004
Run1A,7,0.537758363,-0.000737898,0.069423849,0.008413015,-0.000385418,-0.001661393,0.002402398,7.84E-05,0.00428491,18.54828808,20.98036206,15.78445494,15.74458874,86.36835891,87.20385675,85.90712318,85.45218418
Run1A,8,0.708929646,0.043286283,0.030137168,0.004716705,-0.000404128,-0.000304352,0.002534273,0.000931773,0.003635302,18.53765487,20.97079646,15.7740708,15.71920354,82.5880531,85.10221239,84.53938053,84.21769912
Run1A,9,0.935333333,-0.037066667,0.102333333,0.005047556,0.000564756,0.005964622,0.002134596,0.009911289,0.075779556,18.64666667,21.04,15.28666667,12.16,76.86666667,75.86666667,79.06666667,33.86666667
Run1A,10,-0.199990216,0.006653965,0.057504634,0.004744397,-2.00E-05,-0.000743918,0.003030713,-2.14E-05,0.008392219,18.51658084,20.94201854,15.75499485,15.7200309,86.04273944,86.3208033,82.07826982,81.70751802
